speaker_id,sex,clip_path,degradation,severity_param,severity_value,dnsmos_sig,dnsmos_bak,dnsmos_ovr,nisqa,clipping_rate,crest_factor_db,wada_snr_db,spectral_flatness,hf_energy_ratio,pitch_confidence,c50_db,impulse_snr_db
672,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/672/122797/672-122797-0019.flac,noise_impulsive,click_rate,1,2.848464452532879,2.721789262850302,2.2649325540687344,2.164533853530884,1.5206812652068127e-05,26.642364501953125,15.08560562133789,0.05174197826362437,0.06518537551164627,0.21296978766166938,,0.0
672,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/672/122797/672-122797-0035.flac,noise_impulsive,click_rate,1,3.206478660633894,2.7327192133397546,2.3976790155680954,2.273371458053589,2.1551724137931033e-05,25.737667083740234,21.372756958007812,0.028298953109038325,0.005833500996232033,0.10536551517422979,,0.0
672,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/672/122797/672-122797-0055.flac,noise_impulsive,click_rate,1,3.4587086544798864,3.380522242116758,2.885433496468326,2.7364003658294678,7.594167679222357e-06,27.491317749023438,19.295745849609375,0.08977444534444055,0.07874389737844467,0.048103546317625055,,0.0
672,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/672/122797/672-122797-0025.flac,noise_impulsive,click_rate,1,3.548697060371145,3.621886521513032,3.0716277594505264,2.4011971950531006,5.846585594013096e-06,27.663497924804688,18.74588394165039,0.11951651528526704,0.061032168567180634,0.04665926067986166,,0.0
672,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/672/122797/672-122797-0064.flac,noise_impulsive,click_rate,1,3.1896542872221016,2.9321216532166923,2.529469044217556,2.250622510910034,4.092992796332678e-06,27.276599884033203,20.19619369506836,0.09216335074836139,0.10182260721921921,0.11703291038659994,,0.0
61,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/61/70968/61-70968-0061.flac,noise_impulsive,click_rate,1,3.4951893547245545,3.213284582328316,2.792289457735943,1.7710953950881958,1.1301989150090416e-05,26.2796688079834,15.556407928466797,0.017761845429046998,0.005517252255231142,0.051189423175451616,,0.0
61,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/61/70968/61-70968-0014.flac,noise_impulsive,click_rate,1,3.480429797574717,3.3715696008585043,2.9079718397599637,1.9016125202178955,8.3500334001336e-06,25.23470687866211,16.652782440185547,0.01888528908958535,0.010434769093990326,0.016741444185883855,,0.0
61,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/61/70970/61-70970-0021.flac,noise_impulsive,click_rate,1,3.6160200466508186,3.720473713081044,3.1274875390613803,4.30814790725708,1.156336725254394e-05,19.67498779296875,10.939541816711426,0.034616624742478085,0.018216431140899658,0.0771054542513919,,0.0
61,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/61/70968/61-70968-0019.flac,noise_impulsive,click_rate,1,3.527292850963771,3.0219642195175713,2.7654255381384094,1.6554367542266846,1.1415525114155251e-05,24.538082122802734,14.126516342163086,0.04623852348025382,0.01875549554824829,0.05634071215196222,,0.0
61,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/61/70970/61-70970-0028.flac,noise_impulsive,click_rate,1,3.683602056249021,3.939498224541601,3.3340934376461417,3.0728204250335693,9.541984732824428e-06,28.558141708374023,14.213602066040039,0.02199155911370062,0.012615850195288658,0.04253794575825355,,0.0
