speaker_id,sex,clip_path,degradation,severity_param,severity_value,dnsmos_sig,dnsmos_bak,dnsmos_ovr,nisqa,clipping_rate,crest_factor_db,wada_snr_db,spectral_flatness,hf_energy_ratio,pitch_confidence,c50_db,impulse_snr_db
672,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/672/122797/672-122797-0019.flac,codec,bitrate_kbps,6,3.0288163263292747,3.0196486991032865,2.3442870525393116,1.6527501344680786,1.5206812652068127e-05,16.340734481811523,17.255903244018555,5.198471665181463e-07,1.2762848200509325e-06,0.20984733349790036,,
672,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/672/122797/672-122797-0035.flac,codec,bitrate_kbps,6,0.9517377697606216,1.0342067650801219,1.0341880409855349,2.3536901473999023,6.46551724137931e-05,20.089265823364258,22.232547760009766,0.00017034357618331115,8.850811354932375e-06,0.010003182731226164,,
672,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/672/122797/672-122797-0055.flac,codec,bitrate_kbps,6,1.1857154644034864,1.671735215282103,1.2465582598578842,1.7687242031097412,7.594167679222357e-06,19.051467895507812,17.97073745727539,7.492554463352429e-07,3.839691586904337e-08,0.026717798530591596,,
672,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/672/122797/672-122797-0025.flac,codec,bitrate_kbps,6,1.2810643403513797,1.5492382394671218,1.1950445311613545,1.6200989484786987,5.846585594013096e-06,18.287109375,13.330811500549316,1.5504712075135623e-06,2.3456441056168842e-07,0.0588365107515587,,
672,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/672/122797/672-122797-0064.flac,codec,bitrate_kbps,6,1.3110090861763586,1.7941418418195862,1.3206729432982813,1.7460979223251343,4.092992796332678e-06,21.74661636352539,17.707632064819336,7.484384269840479e-07,4.4133867049822584e-07,0.05239439749278282,,
61,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/61/70968/61-70968-0061.flac,codec,bitrate_kbps,6,1.6009539208698644,1.7194667273420408,1.3126061916521237,1.4031223058700562,1.1301989150090416e-05,16.12523651123047,13.785429000854492,7.20343499020258e-07,8.266545137303183e-07,0.0228970975605393,,
61,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/61/70968/61-70968-0014.flac,codec,bitrate_kbps,6,1.4667698282894928,2.840457173252819,1.3142893700287865,1.494992733001709,8.3500334001336e-06,21.35472869873047,20.68282699584961,4.1131482899826087e-07,1.1515025377661914e-08,0.012060419258257293,,
61,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/61/70970/61-70970-0021.flac,codec,bitrate_kbps,6,1.800495326240988,2.6693608910065167,1.527900215993616,1.5160785913467407,1.156336725254394e-05,15.49429702758789,13.16158676147461,2.654708620303354e-07,5.196042820898583e-06,0.010000000000000332,,
61,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/61/70968/61-70968-0019.flac,codec,bitrate_kbps,6,1.6910119664798313,2.6916007225630296,1.4866792725685682,1.455820918083191,1.1415525114155251e-05,17.867319107055664,17.938751220703125,7.299543868999139e-07,3.993762220488861e-06,0.010010686916413825,,
61,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/61/70970/61-70970-0028.flac,codec,bitrate_kbps,6,1.0798374279442047,1.5449394288095513,1.1298615272729888,1.4475972652435303,9.541984732824428e-06,20.466602325439453,17.457202911376953,2.955894420866825e-07,2.7299448035478235e-08,0.010000000168394392,,
260,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/260/123440/260-123440-0008.flac,codec,bitrate_kbps,6,2.2773331008578515,2.811433932316638,1.9179644110149152,1.3382784128189087,1.6688918558077437e-05,16.133220672607422,18.546588897705078,3.521342289084342e-07,1.4376954823092092e-05,0.11951003535703192,,
260,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/260/123286/260-123286-0014.flac,codec,bitrate_kbps,6,1.6214601539173854,3.205841514896072,1.4577453827906923,1.122496485710144,2.0973154362416106e-05,13.871614456176758,75.16764831542969,2.0743194817790116e-07,1.1638760497589828e-06,0.08641594501084461,,
260,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/260/123288/260-123288-0021.flac,codec,bitrate_kbps,6,1.5657903238217852,1.9105565948912642,1.280695840187509,1.3276798725128174,2.3062730627306272e-05,13.974685668945312,13.799847602844238,1.8161672411007753e-07,3.400338073333842e-07,0.010000007168320465,,
260,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/260/123286/260-123286-0023.flac,codec,bitrate_kbps,6,1.4740644156545084,2.059934134894419,1.2888337252853357,1.3032923936843872,1.0638297872340426e-05,17.717042922973633,17.78044319152832,3.512985556995827e-07,1.4994819139246829e-05,0.08043063345177963,,
260,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/260/123440/260-123440-0011.flac,codec,bitrate_kbps,6,2.003682334848277,2.645332286872225,1.7668014008893163,1.4377050399780273,1.2833675564681725e-05,14.54861068725586,10.246160507202148,1.3756591891089044e-07,2.924816953964182e-06,0.3397289536807246,,
6930,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/6930/75918/6930-75918-0000.flac,codec,bitrate_kbps,6,3.135921416563251,3.265593636197007,2.519441353952733,2.5240895748138428,1.783166904422254e-05,19.35563850402832,22.494678497314453,1.4196196649739285e-06,6.121521778368333e-08,0.07384177374344454,,
