speaker_id,sex,clip_path,degradation,severity_param,severity_value,dnsmos_sig,dnsmos_bak,dnsmos_ovr,nisqa,clipping_rate,crest_factor_db,wada_snr_db,spectral_flatness,hf_energy_ratio,pitch_confidence,c50_db,impulse_snr_db
672,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/672/122797/672-122797-0019.flac,noise_tonal_lf,snr_db,0,3.217865500770542,2.4195966689154,2.2529291729219367,2.2360966205596924,1.5206812652068127e-05,14.483365058898926,4.477149963378906,0.05540961456118332,0.06508351117372513,0.010000000001201052,,
672,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/672/122797/672-122797-0035.flac,noise_tonal_lf,snr_db,0,3.2035948747091654,2.424339964081372,2.229965564250251,2.8701443672180176,2.1551724137931033e-05,17.658273696899414,4.890905857086182,0.026551597198255304,0.005829846952110529,0.010000000000035045,,
672,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/672/122797/672-122797-0055.flac,noise_tonal_lf,snr_db,0,3.595128883186579,2.7491306569684086,2.611612622517437,3.186544179916382,7.594167679222357e-06,20.33100128173828,4.807709217071533,0.07247542448280213,0.07753481715917587,0.010027751820323153,,
672,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/672/122797/672-122797-0025.flac,noise_tonal_lf,snr_db,0,2.0440846396855465,1.6388539855175173,1.4700558023435681,3.2296125888824463,5.846585594013096e-06,22.867414474487305,4.858381271362305,0.11150365883067088,0.06121334433555603,0.010000010730022118,,
672,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/672/122797/672-122797-0064.flac,noise_tonal_lf,snr_db,0,2.6437411624018385,1.9241927814974868,1.8031630663373504,2.972681760787964,4.092992796332678e-06,20.52332305908203,4.797297477722168,0.08494531350185208,0.10222036391496658,0.01000644896672204,,
61,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/61/70968/61-70968-0061.flac,noise_tonal_lf,snr_db,0,3.536749885625518,2.8470836665632637,2.57343886153141,2.140028476715088,1.1301989150090416e-05,15.101633071899414,4.4308600425720215,0.016760013538252915,0.005360128358006477,0.010125722824581565,,
61,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/61/70968/61-70968-0014.flac,noise_tonal_lf,snr_db,0,2.387740941138712,1.820960823902856,1.7017359478434364,2.592768907546997,8.3500334001336e-06,22.329633712768555,4.642385005950928,0.019579551487598566,0.01045290008187294,0.010000450761256675,,
61,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/61/70970/61-70970-0021.flac,noise_tonal_lf,snr_db,0,2.985895897149141,2.1743953110376,2.1119803035589584,2.822373151779175,1.156336725254394e-05,17.27853012084961,4.332670211791992,0.018237236407042452,0.009121927432715893,0.010033696961041593,,
61,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/61/70968/61-70968-0019.flac,noise_tonal_lf,snr_db,0,2.2864401858888357,1.6675401358994828,1.4728363141344143,2.5233683586120605,1.1415525114155251e-05,17.145599365234375,4.360516548156738,0.047626584703975336,0.018831945955753326,0.010000408282449025,,
61,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/61/70970/61-70970-0028.flac,noise_tonal_lf,snr_db,0,3.3816887447004027,2.8677409151461566,2.479247417175375,3.5392849445343018,9.541984732824428e-06,18.755680084228516,4.249495983123779,0.020201847352087087,0.01266038790345192,0.010077107311585726,,
