speaker_id,sex,clip_path,degradation,severity_param,severity_value,dnsmos_sig,dnsmos_bak,dnsmos_ovr,nisqa,clipping_rate,crest_factor_db,wada_snr_db,spectral_flatness,hf_energy_ratio,pitch_confidence,c50_db,impulse_snr_db
672,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/672/122797/672-122797-0019.flac,lowpass,cutoff_hz,500,3.2468562141490076,3.8767463861122526,2.830793035123904,1.3040186166763306,1.5206812652068127e-05,14.974376678466797,15.495820999145508,1.2699674811017356e-09,8.481609511945543e-12,0.36036977823064176,,
672,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/672/122797/672-122797-0035.flac,lowpass,cutoff_hz,500,3.1525385821439476,3.9740733400799666,2.8128749459696776,1.4696598052978516,2.1551724137931033e-05,14.37507152557373,18.244565963745117,3.6747748095006077e-10,2.1353485646358195e-09,0.20721319048781428,,
672,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/672/122797/672-122797-0055.flac,lowpass,cutoff_hz,500,3.3577573082566157,3.8424651518847233,2.967218185157687,1.4271461963653564,7.594167679222357e-06,15.04279899597168,16.55565643310547,1.3287557925756274e-09,1.0565023300657117e-09,0.15591537581476153,,
672,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/672/122797/672-122797-0025.flac,lowpass,cutoff_hz,500,3.403617856194222,3.9612306516848816,3.0635529236358017,1.4292821884155273,5.846585594013096e-06,21.70193099975586,14.02331829071045,1.4647516443345877e-09,4.253652541308384e-09,0.13222028249355536,,
672,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/672/122797/672-122797-0064.flac,lowpass,cutoff_hz,500,3.3008831301307566,3.9567765778446113,2.9552348262453916,1.4334683418273926,4.092992796332678e-06,18.00812530517578,18.611082077026367,7.853893857557198e-10,1.5225122274031833e-09,0.21763676240983762,,
61,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/61/70968/61-70968-0061.flac,lowpass,cutoff_hz,500,3.4506836189567793,3.7598837756893166,2.9881545175782005,1.3748140335083008,1.1301989150090416e-05,16.841976165771484,12.969171524047852,1.0532768503325602e-09,1.384029890694194e-09,0.07848369113915651,,
61,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/61/70968/61-70968-0014.flac,lowpass,cutoff_hz,500,3.3245338100593935,3.6834017888683546,2.843845050655191,1.4034595489501953,8.3500334001336e-06,18.215072631835938,13.15349006652832,6.781791001384124e-10,2.3630930545692763e-09,0.037346120033006025,,
61,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/61/70970/61-70970-0021.flac,lowpass,cutoff_hz,500,3.270851859037741,3.825550677217583,2.89669513950956,1.4226226806640625,1.156336725254394e-05,13.797426223754883,11.59634780883789,4.564551774495674e-10,2.5064576192335153e-08,0.11545951438871416,,
61,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/61/70968/61-70968-0019.flac,lowpass,cutoff_hz,500,3.209735302370419,3.6894459920430913,2.806281789402127,1.3888626098632812,1.1415525114155251e-05,18.722381591796875,14.417180061340332,6.194957958919479e-10,1.7875221658414375e-07,0.11661257716561982,,
61,M,/Volumes/LPM03 storage/Datasets/Audio/LibriSpeech/LibriSpeech/test-clean/61/70970/61-70970-0028.flac,lowpass,cutoff_hz,500,3.494955249149921,4.090285413654835,3.214972036633985,1.2878788709640503,9.541984732824428e-06,16.243886947631836,13.407269477844238,3.772247620442005e-10,1.177982511535447e-08,0.10194156885316691,,
